Week,Store ID,Product ID,Category,Region,Forecast_Units
2024-01-08,S001,P0001,Toys,East,100.08
2024-01-15,S001,P0001,Toys,East,103.38
2024-01-22,S001,P0001,Toys,East,99.11
2024-01-29,S001,P0001,Toys,East,116.08
2024-02-05,S001,P0001,Toys,East,114.75
2024-02-12,S001,P0001,Toys,East,113.27
2024-02-19,S001,P0001,Toys,East,122.37
2024-02-26,S001,P0001,Toys,East,104.94
2024-01-08,S001,P0002,Furniture,West,145.44
2024-01-15,S001,P0002,Furniture,West,156.78
2024-01-22,S001,P0002,Furniture,West,154.33
2024-01-29,S001,P0002,Furniture,West,125.16
2024-02-05,S001,P0002,Furniture,West,116.13
2024-02-12,S001,P0002,Furniture,West,126.14
2024-02-19,S001,P0002,Furniture,West,121.76
2024-02-26,S001,P0002,Furniture,West,128.56
2024-01-08,S001,P0003,Toys,East,146.97
2024-01-15,S001,P0003,Toys,East,170.88
2024-01-22,S001,P0003,Toys,East,161.86
2024-01-29,S001,P0003,Toys,East,153.15
2024-02-05,S001,P0003,Toys,East,165.61
2024-02-12,S001,P0003,Toys,East,156.38
2024-02-19,S001,P0003,Toys,East,150.49
2024-02-26,S001,P0003,Toys,East,131.55
2024-01-08,S001,P0004,Groceries,West,173.86
2024-01-15,S001,P0004,Groceries,West,166.94
2024-01-22,S001,P0004,Groceries,West,160.93
2024-01-29,S001,P0004,Groceries,West,183.51
2024-02-05,S001,P0004,Groceries,West,176.78
2024-02-12,S001,P0004,Groceries,West,172.61
2024-02-19,S001,P0004,Groceries,West,171.52
2024-02-26,S001,P0004,Groceries,West,199.3
2024-01-08,S001,P0005,Groceries,North,162.14
2024-01-15,S001,P0005,Groceries,North,170.4
2024-01-22,S001,P0005,Groceries,North,192.74
2024-01-29,S001,P0005,Groceries,North,181.13
2024-02-05,S001,P0005,Groceries,North,210.55
2024-02-12,S001,P0005,Groceries,North,198.5
2024-02-19,S001,P0005,Groceries,North,182.86
2024-02-26,S001,P0005,Groceries,North,197.66
2024-01-08,S001,P0006,Electronics,North,182.03
2024-01-15,S001,P0006,Electronics,North,160.34
2024-01-22,S001,P0006,Electronics,North,128.83
2024-01-29,S001,P0006,Electronics,North,119.5
2024-02-05,S001,P0006,Electronics,North,130.87
2024-02-12,S001,P0006,Electronics,North,156.37
2024-02-19,S001,P0006,Electronics,North,182.59
2024-02-26,S001,P0006,Electronics,North,164.89
2024-01-08,S001,P0007,Clothing,East,159.08
2024-01-15,S001,P0007,Clothing,East,167.82
2024-01-22,S001,P0007,Clothing,East,174.58
2024-01-29,S001,P0007,Clothing,East,192.54
2024-02-05,S001,P0007,Clothing,East,186.33
2024-02-12,S001,P0007,Clothing,East,176.54
2024-02-19,S001,P0007,Clothing,East,168.76
2024-02-26,S001,P0007,Clothing,East,198.18
2024-01-08,S001,P0008,Electronics,East,194.98
2024-01-15,S001,P0008,Electronics,East,165.19
2024-01-22,S001,P0008,Electronics,East,150.33
2024-01-29,S001,P0008,Electronics,East,155.8
2024-02-05,S001,P0008,Electronics,East,167.87
2024-02-12,S001,P0008,Electronics,East,164.58
2024-02-19,S001,P0008,Electronics,East,149.74
2024-02-26,S001,P0008,Electronics,East,161.47
2024-01-08,S001,P0009,Electronics,South,134.07
2024-01-15,S001,P0009,Electronics,South,104.49
2024-01-22,S001,P0009,Electronics,South,112.82
2024-01-29,S001,P0009,Electronics,South,124.78
2024-02-05,S001,P0009,Electronics,South,117.1
2024-02-12,S001,P0009,Electronics,South,101.55
2024-02-19,S001,P0009,Electronics,South,115.59
2024-02-26,S001,P0009,Electronics,South,105.1
2024-01-08,S001,P0010,Furniture,West,105.13
2024-01-15,S001,P0010,Furniture,West,127.59
2024-01-22,S001,P0010,Furniture,West,122.63
2024-01-29,S001,P0010,Furniture,West,146.99
2024-02-05,S001,P0010,Furniture,West,116.52
2024-02-12,S001,P0010,Furniture,West,120.13
2024-02-19,S001,P0010,Furniture,West,155.24
2024-02-26,S001,P0010,Furniture,West,104.44
2024-01-08,S001,P0011,Electronics,West,208.52
2024-01-15,S001,P0011,Electronics,West,207.38
2024-01-22,S001,P0011,Electronics,West,187.82
2024-01-29,S001,P0011,Electronics,West,197.57
2024-02-05,S001,P0011,Electronics,West,190.75
2024-02-12,S001,P0011,Electronics,West,186.92
2024-02-19,S001,P0011,Electronics,West,194.73
2024-02-26,S001,P0011,Electronics,West,194.97
2024-01-08,S001,P0012,Electronics,East,188.45
2024-01-15,S001,P0012,Electronics,East,194.37
2024-01-22,S001,P0012,Electronics,East,217.09
2024-01-29,S001,P0012,Electronics,East,180.17
2024-02-05,S001,P0012,Electronics,East,178.32
2024-02-12,S001,P0012,Electronics,East,181.65
2024-02-19,S001,P0012,Electronics,East,176.28
2024-02-26,S001,P0012,Electronics,East,176.05
2024-01-08,S001,P0013,Groceries,North,188.58
2024-01-15,S001,P0013,Groceries,North,202.08
2024-01-22,S001,P0013,Groceries,North,200.4
2024-01-29,S001,P0013,Groceries,North,213.56
2024-02-05,S001,P0013,Groceries,North,211.61
2024-02-12,S001,P0013,Groceries,North,208.86
2024-02-19,S001,P0013,Groceries,North,211.6
2024-02-26,S001,P0013,Groceries,North,211.83
2024-01-08,S001,P0014,Groceries,South,152.34
2024-01-15,S001,P0014,Groceries,South,156.37
2024-01-22,S001,P0014,Groceries,South,160.32
2024-01-29,S001,P0014,Groceries,South,162.47
2024-02-05,S001,P0014,Groceries,South,156.6
2024-02-12,S001,P0014,Groceries,South,159.49
2024-02-19,S001,P0014,Groceries,South,158.82
2024-02-26,S001,P0014,Groceries,South,160.27
2024-01-08,S001,P0015,Electronics,East,131.17
2024-01-15,S001,P0015,Electronics,East,136.44
2024-01-22,S001,P0015,Electronics,East,146.21
2024-01-29,S001,P0015,Electronics,East,145.45
2024-02-05,S001,P0015,Electronics,East,147.65
2024-02-12,S001,P0015,Electronics,East,140.98
2024-02-19,S001,P0015,Electronics,East,140.46
2024-02-26,S001,P0015,Electronics,East,154.5
2024-01-08,S001,P0016,Electronics,East,127.24
2024-01-15,S001,P0016,Electronics,East,109.87
2024-01-22,S001,P0016,Electronics,East,115.74
2024-01-29,S001,P0016,Electronics,East,106.68
2024-02-05,S001,P0016,Electronics,East,101.48
2024-02-12,S001,P0016,Electronics,East,102.46
2024-02-19,S001,P0016,Electronics,East,103.43
2024-02-26,S001,P0016,Electronics,East,106.03
2024-01-08,S001,P0017,Toys,East,154.92
2024-01-15,S001,P0017,Toys,East,171.23
2024-01-22,S001,P0017,Toys,East,172.34
2024-01-29,S001,P0017,Toys,East,167.65
2024-02-05,S001,P0017,Toys,East,149.78
2024-02-12,S001,P0017,Toys,East,159.14
2024-02-19,S001,P0017,Toys,East,147.59
2024-02-26,S001,P0017,Toys,East,159.92
2024-01-08,S001,P0018,Electronics,East,111.47
2024-01-15,S001,P0018,Electronics,East,118.95
2024-01-22,S001,P0018,Electronics,East,99.24
2024-01-29,S001,P0018,Electronics,East,122.0
2024-02-05,S001,P0018,Electronics,East,119.39
2024-02-12,S001,P0018,Electronics,East,146.62
2024-02-19,S001,P0018,Electronics,East,101.01
2024-02-26,S001,P0018,Electronics,East,103.08
2024-01-08,S001,P0019,Clothing,West,112.42
2024-01-15,S001,P0019,Clothing,West,118.64
2024-01-22,S001,P0019,Clothing,West,147.89
2024-01-29,S001,P0019,Clothing,West,137.56
2024-02-05,S001,P0019,Clothing,West,109.29
2024-02-12,S001,P0019,Clothing,West,110.1
2024-02-19,S001,P0019,Clothing,West,109.56
2024-02-26,S001,P0019,Clothing,West,104.31
2024-01-08,S001,P0020,Electronics,South,109.19
2024-01-15,S001,P0020,Electronics,South,142.44
2024-01-22,S001,P0020,Electronics,South,124.78
2024-01-29,S001,P0020,Electronics,South,161.0
2024-02-05,S001,P0020,Electronics,South,155.75
2024-02-12,S001,P0020,Electronics,South,136.3
2024-02-19,S001,P0020,Electronics,South,106.77
2024-02-26,S001,P0020,Electronics,South,123.88
2024-01-08,S002,P0001,Clothing,East,200.4
2024-01-15,S002,P0001,Clothing,East,206.65
2024-01-22,S002,P0001,Clothing,East,190.87
2024-01-29,S002,P0001,Clothing,East,185.53
2024-02-05,S002,P0001,Clothing,East,197.71
2024-02-12,S002,P0001,Clothing,East,198.81
2024-02-19,S002,P0001,Clothing,East,201.36
2024-02-26,S002,P0001,Clothing,East,204.62
2024-01-08,S002,P0002,Groceries,North,162.53
2024-01-15,S002,P0002,Groceries,North,164.69
2024-01-22,S002,P0002,Groceries,North,167.32
2024-01-29,S002,P0002,Groceries,North,182.66
2024-02-05,S002,P0002,Groceries,North,202.88
2024-02-12,S002,P0002,Groceries,North,189.95
2024-02-19,S002,P0002,Groceries,North,187.34
2024-02-26,S002,P0002,Groceries,North,195.97
2024-01-08,S002,P0003,Clothing,South,173.77
2024-01-15,S002,P0003,Clothing,South,166.02
2024-01-22,S002,P0003,Clothing,South,169.36
2024-01-29,S002,P0003,Clothing,South,122.3
2024-02-05,S002,P0003,Clothing,South,119.8
2024-02-12,S002,P0003,Clothing,South,123.69
2024-02-19,S002,P0003,Clothing,South,161.76
2024-02-26,S002,P0003,Clothing,South,174.26
2024-01-08,S002,P0004,Toys,West,164.16
2024-01-15,S002,P0004,Toys,West,155.64
2024-01-22,S002,P0004,Toys,West,164.57
2024-01-29,S002,P0004,Toys,West,167.86
2024-02-05,S002,P0004,Toys,West,121.13
2024-02-12,S002,P0004,Toys,West,153.37
2024-02-19,S002,P0004,Toys,West,150.67
2024-02-26,S002,P0004,Toys,West,144.67
2024-01-08,S002,P0005,Toys,West,147.97
2024-01-15,S002,P0005,Toys,West,151.66
2024-01-22,S002,P0005,Toys,West,175.32
2024-01-29,S002,P0005,Toys,West,172.73
2024-02-05,S002,P0005,Toys,West,180.04
2024-02-12,S002,P0005,Toys,West,177.41
2024-02-19,S002,P0005,Toys,West,180.43
2024-02-26,S002,P0005,Toys,West,176.72
2024-01-08,S002,P0006,Toys,East,144.08
2024-01-15,S002,P0006,Toys,East,139.69
2024-01-22,S002,P0006,Toys,East,132.85
2024-01-29,S002,P0006,Toys,East,123.24
2024-02-05,S002,P0006,Toys,East,121.88
2024-02-12,S002,P0006,Toys,East,116.97
2024-02-19,S002,P0006,Toys,East,146.19
2024-02-26,S002,P0006,Toys,East,127.1
2024-01-08,S002,P0007,Toys,West,149.28
2024-01-15,S002,P0007,Toys,West,143.91
2024-01-22,S002,P0007,Toys,West,112.16
2024-01-29,S002,P0007,Toys,West,141.27
2024-02-05,S002,P0007,Toys,West,140.15
2024-02-12,S002,P0007,Toys,West,122.62
2024-02-19,S002,P0007,Toys,West,109.2
2024-02-26,S002,P0007,Toys,West,98.28
2024-01-08,S002,P0008,Furniture,North,175.96
2024-01-15,S002,P0008,Furniture,North,162.38
2024-01-22,S002,P0008,Furniture,North,153.31
2024-01-29,S002,P0008,Furniture,North,155.62
2024-02-05,S002,P0008,Furniture,North,168.86
2024-02-12,S002,P0008,Furniture,North,166.49
2024-02-19,S002,P0008,Furniture,North,172.17
2024-02-26,S002,P0008,Furniture,North,162.57
2024-01-08,S002,P0009,Electronics,North,161.59
2024-01-15,S002,P0009,Electronics,North,150.97
2024-01-22,S002,P0009,Electronics,North,164.5
2024-01-29,S002,P0009,Electronics,North,159.85
2024-02-05,S002,P0009,Electronics,North,189.66
2024-02-12,S002,P0009,Electronics,North,163.33
2024-02-19,S002,P0009,Electronics,North,157.32
2024-02-26,S002,P0009,Electronics,North,152.44
2024-01-08,S002,P0010,Toys,West,145.53
