Week,Store ID,Product ID,Category,Region,Units_Sold,Units_Ordered,Avg_Inventory,Avg_Price,Avg_Discount,Avg_Competitor_Price,Promotion_Days
2021-12-27,S001,P0001,Groceries,North,127,55,231.0,33.5,20.0,29.69,0
2021-12-27,S001,P0001,Groceries,West,81,104,116.0,27.95,10.0,30.89,0
2021-12-27,S001,P0002,Clothing,West,163,79,416.0,19.78,15.0,18.76,0
2021-12-27,S001,P0002,Toys,South,150,66,204.0,63.01,20.0,66.16,0
2021-12-27,S001,P0003,Clothing,South,464,163,488.0,70.99,10.0,72.93,0
2021-12-27,S001,P0003,Toys,West,65,51,102.0,27.99,10.0,31.32,1
2021-12-27,S001,P0004,Groceries,East,116,107,248.0,49.56,5.0,50.46,0
2021-12-27,S001,P0004,Toys,North,61,164,469.0,32.72,10.0,34.74,1
2021-12-27,S001,P0005,Electronics,East,214,175,202.0,48.7,7.5,44.07,1
2021-12-27,S001,P0006,Furniture,East,58,32,471.0,47.56,0.0,46.82,1
2021-12-27,S001,P0006,Groceries,South,128,102,138.0,76.83,10.0,79.35,1
2021-12-27,S001,P0007,Electronics,North,56,149,178.0,17.1,5.0,17.0,1
2021-12-27,S001,P0007,Furniture,East,97,167,359.0,34.16,10.0,36.55,1
2021-12-27,S001,P0008,Clothing,East,74,121,92.0,58.89,5.0,61.56,0
2021-12-27,S001,P0008,Clothing,North,312,54,380.0,97.99,5.0,100.09,0
2021-12-27,S001,P0009,Electronics,West,175,135,183.0,20.74,10.0,17.66,0
2021-12-27,S001,P0009,Toys,South,54,182,99.0,99.76,20.0,95.61,0
2021-12-27,S001,P0010,Clothing,North,39,163,171.0,11.44,5.0,12.71,0
2021-12-27,S001,P0010,Toys,South,28,196,108.0,59.99,0.0,61.21,1
2021-12-27,S001,P0011,Furniture,East,12,173,215.0,53.84,0.0,53.79,1
2021-12-27,S001,P0011,Furniture,South,150,153,258.0,58.53,10.0,61.42,1
2021-12-27,S001,P0012,Clothing,West,24,70,66.0,58.25,20.0,62.21,0
