Store ID,Product ID,Category,Region,Current_Inventory,Units_Ordered,Current_Price,Forward_8_Week_Demand,Lead_Time_Demand,Available_Supply,Stockout_Gap_Units,stockout_risk_score,Stockout_Risk_Level,Excess_Inventory_Units,overstock_risk_score,Overstock_Risk_Level,Estimated_Stockout_Impact_INR,Estimated_Overstock_Impact_INR,Estimated_Impact_INR,Decision_Quadrant,Recommended_Action,Analysis_Week
S001,P0001,Toys,East,223.0,93,55.26,873.98,203.45999999999998,316.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0002,Furniture,West,217.0,73,44.84,1074.3,302.22,290.0,12.220000000000027,4.04,Low,0.0,0.0,Low,547.94,0.0,547.94,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0003,Toys,East,69.0,191,21.94,1236.89,317.85,260.0,57.85000000000002,18.2,Low,0.0,0.0,Low,1269.23,0.0,1269.23,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0004,Groceries,West,338.0,152,86.37,1405.45,340.8,490.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0005,Groceries,North,471.0,167,15.58,1495.98,332.53999999999996,638.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0006,Electronics,North,305.0,114,64.76,1225.42,342.37,419.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0007,Clothing,East,256.0,184,77.44,1423.83,326.9,440.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0008,Electronics,East,315.0,108,31.34,1309.96,360.16999999999996,423.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0009,Electronics,South,167.0,188,96.8,915.5,238.56,355.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0010,Furniture,West,167.0,107,40.95,998.6700000000001,232.72,274.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0011,Electronics,West,449.0,118,90.89,1568.6599999999999,415.9,567.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0012,Electronics,East,213.0,175,39.14,1492.38,382.82,388.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0013,Groceries,North,356.0,28,59.93,1648.52,390.66,384.0,6.660000000000025,1.7,Low,0.0,0.0,Low,399.13,0.0,399.13,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0014,Groceries,South,293.0,180,29.01,1266.68,308.71000000000004,473.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
